Timestamps(ms),Latitude,Longitude,f(Arts & Entertainment),f(College & University),f(Event),f(Food),f(Nightlife Spot),f(Outdoors & Recreation),f(Professional & Other Places),f(Residence),f(Shop & Service),f(Travel & Transport)
1406540390674,43.76496013450002,11.22364997935,3.0,2.0,0.0,4.0,0.0,2.0,4.0,16.0,10.0,1.0
1406540390674,43.76496013450002,11.235151291449998,8.0,1.0,0.0,7.0,2.0,5.0,11.0,23.0,17.0,7.0
1406540390674,43.76496013450002,11.24665260355,34.0,15.0,0.0,148.0,24.0,32.0,33.0,57.0,78.0,47.0
1406540390674,43.76496013450002,11.258153915649999,35.0,10.0,0.0,126.0,42.0,32.0,30.0,29.0,32.0,38.0
1406540390674,43.76496013450002,11.26965522775,22.0,7.0,3.0,47.0,34.0,27.0,72.0,21.0,43.0,51.0
1406540390674,43.76496013450002,11.281156539849999,18.0,9.0,0.0,68.0,12.0,21.0,58.0,9.0,118.0,28.0
1406540390674,43.76496013450002,11.29265785195,17.0,3.0,1.0,27.0,10.0,19.0,30.0,13.0,40.0,8.0
1406540390674,43.755912989500025,11.189146043049998,6.0,1.0,0.0,35.0,6.0,9.0,34.0,4.0,62.0,1.0
1406540390674,43.755912989500025,11.20064735515,2.0,0.0,1.0,14.0,3.0,7.0,20.0,15.0,18.0,0.0
1406540390674,43.755912989500025,11.212148667249998,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,4.0,0.0
1406540390674,43.755912989500025,11.22364997935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0
1406540390674,43.755912989500025,11.235151291449998,2.0,0.0,0.0,4.0,0.0,4.0,9.0,15.0,6.0,9.0
1406540390674,43.755912989500025,11.24665260355,2.0,2.0,0.0,21.0,4.0,4.0,9.0,8.0,13.0,16.0
1406540390674,43.755912989500025,11.258153915649999,0.0,0.0,0.0,0.0,0.0,4.0,1.0,4.0,0.0,2.0
1406540390674,43.755912989500025,11.26965522775,0.0,1.0,0.0,2.0,0.0,3.0,5.0,2.0,2.0,2.0
1406540390674,43.755912989500025,11.281156539849999,5.0,2.0,0.0,3.0,1.0,3.0,9.0,23.0,10.0,2.0
1406540390674,43.755912989500025,11.29265785195,11.0,3.0,0.0,36.0,4.0,13.0,38.0,46.0,95.0,16.0
1406540390674,43.74686584450003,11.189146043049998,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9.0,1.0,1.0
1406540390674,43.74686584450003,11.20064735515,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,1.0
1406540390674,43.74686584450003,11.212148667249998,0.0,0.0,0.0,1.0,1.0,3.0,0.0,2.0,0.0,1.0
1406540390674,43.74686584450003,11.22364997935,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,1.0
1406540390674,43.74686584450003,11.235151291449998,0.0,0.0,0.0,11.0,1.0,6.0,4.0,7.0,19.0,3.0
1406540390674,43.74686584450003,11.24665260355,1.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,2.0
1406540390674,43.74686584450003,11.258153915649999,1.0,1.0,0.0,3.0,0.0,2.0,1.0,3.0,0.0,1.0
1406540390674,43.74686584450003,11.26965522775,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1406540390674,43.74686584450003,11.281156539849999,3.0,0.0,0.0,3.0,0.0,1.0,2.0,2.0,5.0,1.0
1406540390674,43.74686584450003,11.29265785195,1.0,1.0,0.0,3.0,0.0,0.0,1.0,13.0,4.0,0.0
1406540390674,43.73781869950003,11.189146043049998,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1406540390674,43.73781869950003,11.20064735515,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0
1406540390674,43.73781869950003,11.212148667249998,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
1406540390674,43.73781869950003,11.22364997935,1.0,1.0,0.0,16.0,0.0,8.0,8.0,8.0,13.0,6.0
1406540390674,43.73781869950003,11.235151291449998,2.0,0.0,0.0,3.0,1.0,4.0,8.0,10.0,7.0,1.0
1406540390674,43.73781869950003,11.24665260355,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0
1406540390674,43.73781869950003,11.258153915649999,1.0,0.0,0.0,4.0,0.0,1.0,0.0,2.0,1.0,0.0
1406540390674,43.73781869950003,11.26965522775,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0
1406540390674,43.73781869950003,11.281156539849999,2.0,0.0,0.0,1.0,0.0,1.0,4.0,2.0,2.0,1.0
1406540390674,43.73781869950003,11.29265785195,4.0,1.0,0.0,10.0,1.0,4.0,18.0,6.0,16.0,1.0
