Latitude,Longitude,normalized_density(Arts & Entertainment),normalized_density(College & University),normalized_density(Event),normalized_density(Food),normalized_density(Nightlife Spot),normalized_density(Outdoors & Recreation),normalized_density(Professional & Other Places),normalized_density(Residence),normalized_density(Shop & Service),normalized_density(Travel & Transport)
1.0,0.631578947368421,0.0,0.0,0.0,0.0,0.0,0.004444444444444437,7.936507936507934E-4,0.004291845493562239,6.752194463200534E-4,0.0030721966205837217
1.0,0.6842105263157895,0.0030120481927710867,0.0027855153203342658,0.0,0.004705882352941174,0.0025510204081632677,0.004444444444444437,0.0015873015873015869,0.006437768240343357,0.0027008777852802137,0.0030721966205837217
1.0,0.7368421052631579,0.006024096385542173,0.0,0.0,0.002941176470588234,0.0025510204081632677,0.004444444444444437,0.0023809523809523803,0.0010729613733905597,0.0027008777852802137,0.0015360983102918608
1.0,0.7894736842105263,0.0,0.0,0.0,5.882352941176468E-4,0.0,0.0,0.0023809523809523803,0.0,0.0013504388926401068,0.0
1.0,0.8421052631578947,0.0030120481927710867,0.0,0.0,5.882352941176468E-4,0.0,0.004444444444444437,0.0023809523809523803,0.0,0.0,0.0
1.0,0.8947368421052632,0.0,0.0,0.0,5.882352941176468E-4,0.0025510204081632677,0.004444444444444437,0.0023809523809523803,0.0021459227467811193,6.752194463200534E-4,0.0
1.0,0.9473684210526315,0.0030120481927710867,0.0,0.0,0.0,0.0,0.0,7.936507936507934E-4,0.0,0.0,0.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9473684210526315,0.0,0.006024096385542173,0.0,0.0,0.002352941176470587,0.0025510204081632677,0.0,0.0015873015873015869,0.0010729613733905597,0.0013504388926401068,0.0015360983102918608
0.9473684210526315,0.05263157894736842,0.0030120481927710867,0.0055710306406685315,0.0,0.0017647058823529402,0.0,0.0,0.0,0.0,0.0013504388926401068,0.0
0.9473684210526315,0.10526315789473684,0.0,0.0,0.0,0.002941176470588234,0.0,0.0,0.0015873015873015869,0.004291845493562239,0.0027008777852802137,0.0
0.9473684210526315,0.15789473684210525,0.0030120481927710867,0.0055710306406685315,0.0,0.0011764705882352936,0.0,0.0,0.0023809523809523803,0.006437768240343357,6.752194463200534E-4,0.0
