Latitude,Longitude,Food,Shop & Service,Professional & Other Places,Residence,Travel & Transport,Nightlife Spot,Outdoors & Recreation,College & University,Arts & Entertainment,Event
45.0797689805887,7.692360877990723,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
45.0797689805887,7.694506645202637,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.0797689805887,7.696652412414551,3.0,3.0,6.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0
45.0797689805887,7.698798179626465,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
45.0797689805887,7.700943946838379,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.0797689805887,7.703089714050293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.078277720013226,7.662320137023926,3.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0
45.078277720013226,7.66446590423584,4.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
45.078277720013226,7.666611671447754,7.0,7.0,2.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0
45.078277720013226,7.668757438659668,6.0,6.0,4.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0
45.078277720013226,7.670903205871582,6.0,2.0,4.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0
45.078277720013226,7.673048973083496,3.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
45.078277720013226,7.67519474029541,5.0,1.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0
45.078277720013226,7.677340507507324,1.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
45.078277720013226,7.679486274719238,3.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
45.078277720013226,7.681632041931152,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.078277720013226,7.683777809143066,5.0,5.0,2.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0
45.078277720013226,7.6859235763549805,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
45.078277720013226,7.6880693435668945,0.0,1.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0
45.078277720013226,7.690215110778809,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
