Outdoors & Recreation,Food,Nightlife Spot,Shop & Service,Travel & Transport,Professional & Other Places,College & University,Arts & Entertainment,Residence,Event
4.8238655304201595E-4,0.004341478977378144,9.647731060840319E-4,0.001447159659126048,0.004823865530420159,4.8238655304201595E-4,0.0,4.8238655304201595E-4,0.001447159659126048,0.0
0.0024116797262678093,4.8233594525356186E-4,4.8233594525356186E-4,0.0014470078357606856,0.0,0.006270367288296305,4.8233594525356186E-4,0.0024116797262678093,0.0,4.8233594525356186E-4
4.98933327195518E-4,0.0034925332903686258,4.98933327195518E-4,4.98933327195518E-4,0.007982933235128288,9.97866654391036E-4,4.98933327195518E-4,0.0,0.0,0.0
0.0,0.010129054850324799,0.0,0.0014470078357606856,0.0019293437810142474,9.646718905071237E-4,0.0,0.0,0.0,0.0
0.0,0.0014972712109910021,0.0014972712109910021,9.981808073273347E-4,0.0014972712109910021,0.006488175247627676,4.990904036636674E-4,4.990904036636674E-4,0.0014972712109910021,0.0
4.822853546742871E-4,0.002893712128045723,0.0,0.0,0.0024114267733714354,0.0024114267733714354,9.645707093485742E-4,0.004340568192068584,9.645707093485742E-4,0.0
4.8242030113166556E-4,0.0043417827101849904,4.8242030113166556E-4,0.0024121015056583275,0.0014472609033949967,0.003376942107921659,4.8242030113166556E-4,0.0,0.0014472609033949967,0.0
0.0015506909294350205,0.0020675879059133605,0.0,0.0015506909294350205,0.0015506909294350205,0.004652072788305062,0.0010337939529566802,0.0,0.0020675879059133605,0.0
0.0,0.008198277832038508,0.001929006548714943,4.822516371787358E-4,0.0014467549115362074,4.822516371787358E-4,0.0,4.822516371787358E-4,0.0014467549115362074,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014464515916349202,0.0
