Travel & Transport,Outdoors & Recreation,Shop & Service,Food,Nightlife Spot,Professional & Other Places,College & University,Residence,Arts & Entertainment,Event
9.679750565854708E-4,9.679750565854708E-4,9.679750565854708E-4,0.0019359501131709417,4.839875282927354E-4,0.0012099688207318385,0.0,2.419937641463677E-4,4.839875282927354E-4,0.0
3.630574748687342E-4,0.0014522298994749368,3.630574748687342E-4,7.261149497374684E-4,3.630574748687342E-4,0.0,0.0,0.003630574748687342,3.630574748687342E-4,0.0
0.0,0.0020332466463707007,8.713914198731573E-4,2.904638066243858E-4,0.0,2.904638066243858E-4,0.0,8.713914198731573E-4,0.002904638066243858,0.0
4.8392814902328883E-4,2.4196407451164442E-4,0.001209820372558222,0.003387497043163022,7.258922235349333E-4,2.4196407451164442E-4,4.8392814902328883E-4,4.8392814902328883E-4,0.0,0.0
0.0020732148265774795,0.0010366074132887398,0.0010366074132887398,6.910716088591598E-4,0.0,0.0010366074132887398,0.0,0.0010366074132887398,3.455358044295799E-4,0.0
5.181766500647675E-4,0.0,5.181766500647675E-4,2.5908832503238375E-4,5.181766500647675E-4,0.001036353300129535,0.0,0.004404501525550523,0.0,0.0
0.0012101173168505845,2.4202346337011694E-4,2.4202346337011694E-4,0.002662258097071286,4.840469267402339E-4,0.0016941642435908185,0.0,4.840469267402339E-4,2.4202346337011694E-4,0.0
2.420086125593582E-4,4.840172251187164E-4,2.420086125593582E-4,0.0029041033507122985,0.002420086125593582,7.260258376780746E-4,0.0,0.0,2.420086125593582E-4,0.0
4.8389846657777616E-4,0.0,0.0,0.005322883132355538,7.258476998666644E-4,2.4194923328888808E-4,0.0,2.4194923328888808E-4,2.4194923328888808E-4,0.0
4.836908235623488E-4,0.0,0.001209227058905872,0.0019347632942493952,2.418454117811744E-4,0.0031439903531552673,2.418454117811744E-4,0.0,0.0,0.0
9.680938534804678E-4,7.260703901103508E-4,4.840469267402339E-4,0.0019361877069609356,2.4202346337011694E-4,0.0012101173168505845,4.840469267402339E-4,4.840469267402339E-4,7.260703901103508E-4,0.0
0.0019358313450450694,0.0,9.679156725225347E-4,0.0014518735087838022,9.679156725225347E-4,0.0014518735087838022,0.0,2.4197891813063367E-4,2.4197891813063367E-4,0.0
4.840469267402339E-4,2.4202346337011694E-4,4.840469267402339E-4,0.0012101173168505845,7.260703901103508E-4,0.0014521407802207016,2.4202346337011694E-4,0.002420234633701169,0.0,0.0
2.4205317218698816E-4,7.261595165609645E-4,2.4205317218698816E-4,2.4205317218698816E-4,7.261595165609645E-4,9.682126887479526E-4,0.0,0.0031466912384308463,9.682126887479526E-4,0.0
4.8395783626126735E-4,2.4197891813063367E-4,9.679156725225347E-4,0.003871662690090139,2.4197891813063367E-4,9.679156725225347E-4,0.0,2.4197891813063367E-4,2.4197891813063367E-4,0.0
3.630574748687342E-4,0.0014522298994749368,3.630574748687342E-4,7.261149497374684E-4,3.630574748687342E-4,0.0,0.0,0.003630574748687342,3.630574748687342E-4,0.0
7.258476998666644E-4,4.8389846657777616E-4,0.0012097461664444405,0.002419492332888881,0.0016936446330222167,0.0,7.258476998666644E-4,0.0,0.0,0.0
0.0014518735087838022,0.0,4.8395783626126735E-4,0.0026617680994369705,9.679156725225347E-4,4.8395783626126735E-4,4.8395783626126735E-4,2.4197891813063367E-4,4.8395783626126735E-4,0.0
0.0,0.0,2.4197891813063367E-4,0.001693852426914436,0.0019358313450450694,0.0026617680994369705,0.0,0.0,4.8395783626126735E-4,2.4197891813063367E-4
0.004352683860544047,2.4181577003022482E-4,7.254473100906745E-4,2.4181577003022482E-4,0.0,4.8363154006044964E-4,4.8363154006044964E-4,7.254473100906745E-4,0.0,0.0
0.0,7.257141719787105E-4,7.257141719787105E-4,0.002660951963921938,4.8380944798580695E-4,0.0016933330679503244,0.0,0.0,9.676188959716139E-4,0.0
0.001088104287337617,7.254028582250781E-4,0.002176208574675234,0.001088104287337617,0.0,7.254028582250781E-4,0.0,0.0014508057164501563,0.0,0.0
0.0010015993331875372,0.0,7.511994998906529E-4,2.503998332968843E-4,7.511994998906529E-4,0.0012519991664844215,2.503998332968843E-4,0.0030047979995626115,0.0,0.0
7.255362353435232E-4,7.255362353435232E-4,4.836908235623488E-4,0.002418454117811744,2.418454117811744E-4,0.001209227058905872,0.0,4.836908235623488E-4,9.673816471246976E-4,0.0
0.0,0.001815287374343671,0.0,4.5382184358591773E-4,0.0,0.0,0.0,9.076436871718355E-4,0.00408439659227326,0.0
0.001451339354099797,0.0,4.837797846999323E-4,0.0019351191387997292,0.001451339354099797,9.675595693998646E-4,0.0,2.4188989234996615E-4,7.256696770498985E-4,0.0
5.003698174782918E-4,0.0,0.0020014792699131674,0.0017512943611740217,5.003698174782918E-4,7.505547262174378E-4,0.0,0.0017512943611740217,0.0,0.0
0.0019360689004748657,4.840172251187164E-4,0.0,4.840172251187164E-4,7.260258376780746E-4,0.001210043062796791,7.260258376780746E-4,9.680344502374328E-4,7.260258376780746E-4,0.0
0.0010006783022477878,7.505087266858408E-4,0.0012508478778097349,0.0010006783022477878,7.505087266858408E-4,7.505087266858408E-4,5.003391511238939E-4,0.0010006783022477878,2.5016957556194696E-4,0.0
2.4180095274169266E-4,2.4180095274169266E-4,9.672038109667707E-4,9.672038109667707E-4,2.4180095274169266E-4,0.0019344076219335413,2.4180095274169266E-4,0.002176208574675234,2.4180095274169266E-4,0.0
0.0,7.261149497374684E-4,0.002178344849212405,0.0016942682160540929,4.8407663315831224E-4,9.681532663166245E-4,0.0,7.261149497374684E-4,4.8407663315831224E-4,0.0
2.419937641463677E-4,0.0,7.259812924391032E-4,0.004113893990488251,0.0012099688207318385,7.259812924391032E-4,0.0,0.0,2.419937641463677E-4,0.0
4.0334768759893035E-4,0.0016133907503957214,4.0334768759893035E-4,4.0334768759893035E-4,0.0,4.0334768759893035E-4,0.002016738437994652,4.0334768759893035E-4,0.0016133907503957214,0.0
6.597401563442822E-4,0.0026389606253771286,6.597401563442822E-4,0.0,6.597401563442822E-4,0.0013194803126885643,6.597401563442822E-4,6.597401563442822E-4,0.0,0.0
9.672630801208993E-4,0.0,0.0019345261602417986,0.0021763419302720235,2.4181577003022482E-4,7.254473100906745E-4,0.0,7.254473100906745E-4,4.8363154006044964E-4,0.0
7.774555599665548E-4,2.5915185332218494E-4,5.183037066443699E-4,5.183037066443699E-4,2.5915185332218494E-4,7.774555599665548E-4,0.0,0.003887277799832774,2.5915185332218494E-4,0.0
7.511533962801397E-4,0.0017526912579869927,2.503844654267132E-4,7.511533962801397E-4,0.0010015378617068528,0.0010015378617068528,0.0,0.0012519223271335663,5.007689308534264E-4,0.0
