Timestamps(ms),Latitude,Longitude,normalized_density(Arts & Entertainment),normalized_density(College & University),normalized_density(Event),normalized_density(Food),normalized_density(Nightlife Spot),normalized_density(Outdoors & Recreation),normalized_density(Professional & Other Places),normalized_density(Residence),normalized_density(Shop & Service),normalized_density(Travel & Transport)
1393522599075,0.001832419644061077,0.26161533058841124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,0.0018208397066135262,0.27167744633266655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,0.0018088841615957513,0.28173956077337536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,0.0017965530090754765,0.29180167386894446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,0.001783846249255876,0.3018637855777685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,0.001770763882238537,0.3119258958582305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,0.0017573059081589086,0.3219880046687252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,0.0017434723271863022,0.3320501119676592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,0.001729263139422305,0.3421122177134096,0.0,0.03477748305334512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,0.0017146783451039535,0.35217432186438297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,0.0016997179443328345,0.36223642437896225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,0.0016843819372782595,0.3722985252155541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,0.0016686703241095403,0.3823606243325415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,0.0016525831049621262,0.3924227216883251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04166666666666666,0.0
1393522599075,0.0016361202800730535,0.40248481724128776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,0.001619281849645496,0.41254691094983625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,0.0016020678137471786,0.4226090027723594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,0.001584478172682862,0.432671092667246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,0.0015665129265541333,0.44273318059290284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,0.0015481720756318912,0.4527952665077127,0.0,0.0,0.0,0.22317188983855646,0.0,0.0,0.0,0.0,0.08333333333333331,0.0
1393522599075,0.0015294556200854473,0.46285735037007036,0.0,0.0,0.0,0.11158594491927823,0.0,0.0,0.05263157894736842,0.0,0.08333333333333331,0.039999999999999994
1393522599075,0.001510363560084113,0.4729194321383826,0.0,0.0,0.03862590401051939,0.22317188983855646,0.0,0.0,0.0,0.0625,0.0,0.15999999999999998
1393522599075,0.0014908958958649249,0.4829815117710264,0.0,0.0,0.11587771203155818,0.11158594491927823,0.0,0.0,0.10526315789473684,0.125,0.04166666666666666,0.039999999999999994
1393522599075,0.0014710526276649192,0.4930435892264083,0.0,0.0,0.03862590401051939,0.11158594491927823,0.0,0.0,0.0,0.0,0.0,0.19999999999999998
